ontology_name,strategy,tool_name,runtime_s,hypothesis_size,hypothesis_class_count,recovery_rate,recovered_set_precision,valid_explanation,timed_out,peak_memory_mb
ore_ont_16191,A,AAA,TIMEOUT,,,,,,True,0.2
ore_ont_16191,B,CATS,302.1277301311493,0,0,,,,False,0.27
ore_ont_16191,B,LETHE,4.3237364292144775,1,0,,,False,False,10.48
ore_ont_16191,B,AAA,TIMEOUT,,,,,,True,0.2
ore_ont_16191,C,CATS,301.9262011051178,0,0,,,,False,0.27
ore_ont_16191,C,LETHE,4.553504228591919,1,0,,,False,False,10.75
ore_ont_16191,C,AAA,TIMEOUT,,,,,,True,0.2
ore_ont_16481,A,CATS,311.78740763664246,0,0,,,,False,0.28
ore_ont_16481,A,LETHE,1.7237768173217773,1,1,0.0,0.0,True,False,0.89
ore_ont_16481,A,AAA,TIMEOUT,,,,,,True,0.19
ore_ont_16481,B,CATS,260.61308693885803,0,0,,,,False,0.28
ore_ont_16481,B,LETHE,1.509032964706421,0,0,,,,False,1.08
ore_ont_16481,B,AAA,TIMEOUT,,,,,,True,0.19
ore_ont_16481,C,CATS,302.5284414291382,0,0,,,,False,0.27
ore_ont_16481,C,LETHE,2.785032033920288,0,0,,,,False,1.18
ore_ont_16481,C,AAA,TIMEOUT,,,,,,True,0.19
ore_ont_2182,A,CATS,303.608868598938,0,0,,,,False,0.28
ore_ont_2182,A,LETHE,2.9769651889801025,1,1,0.0,0.0,True,False,0.9
ore_ont_2182,A,AAA,TIMEOUT,,,,,,True,0.19
ore_ont_2182,B,CATS,250.4267599582672,0,0,,,,False,0.28
ore_ont_2182,B,LETHE,2.117783308029175,0,0,,,,False,1.06
ore_ont_2182,B,AAA,TIMEOUT,,,,,,True,0.18
ore_ont_2182,C,CATS,303.35286045074463,0,0,,,,False,0.28
ore_ont_2182,C,LETHE,2.7502944469451904,0,0,,,,False,1.17
ore_ont_2182,C,AAA,TIMEOUT,,,,,,True,0.19
ore_ont_3010,A,CATS,303.5382716655731,0,0,,,,False,0.28
ore_ont_3010,A,LETHE,2.903836727142334,1,1,0.0,0.0,True,False,1.28
ore_ont_3010,A,AAA,TIMEOUT,,,,,,True,0.29
ore_ont_3010,B,CATS,303.33915162086487,0,0,,,,False,0.28
ore_ont_3010,B,LETHE,2.8565258979797363,0,0,,,,False,1.76
ore_ont_3010,B,AAA,TIMEOUT,,,,,,True,0.27
ore_ont_3010,C,CATS,TIMEOUT,,,,,,True,0.04
ore_ont_3010,C,LETHE,3.1453118324279785,0,0,,,,False,1.92
ore_ont_3010,C,AAA,TIMEOUT,,,,,,True,0.29
ore_ont_3281,A,CATS,306.35977244377136,0,0,,,,False,0.28
ore_ont_3281,A,LETHE,5.7764246463775635,1,1,0.0,0.0,True,False,0.58
ore_ont_3281,A,AAA,TIMEOUT,,,,,,True,0.12
ore_ont_3281,B,CATS,305.7652175426483,0,0,,,,False,0.29
ore_ont_3281,B,LETHE,TIMEOUT,,,,,,True,65.67
ore_ont_3281,B,AAA,TIMEOUT,,,,,,True,0.12
ore_ont_3281,C,CATS,305.64691948890686,0,0,,,,False,0.28
ore_ont_3281,C,LETHE,TIMEOUT,,,,,,True,72.33
ore_ont_3281,C,AAA,TIMEOUT,,,,,,True,0.12
ore_ont_3411,A,CATS,302.5218245983124,0,0,,,,False,0.29
ore_ont_3411,A,LETHE,1.9620976448059082,1,1,0.0,0.0,True,False,1.08
ore_ont_3411,A,AAA,TIMEOUT,,,,,,True,0.22
ore_ont_3411,B,CATS,44.17055106163025,0,0,,,,False,0.29
ore_ont_3411,B,LETHE,TIMEOUT,,,,,,True,537.48
ore_ont_3411,B,AAA,TIMEOUT,,,,,,True,0.25
ore_ont_3411,C,CATS,302.0690999031067,0,0,,,,False,0.29
ore_ont_3411,C,LETHE,TIMEOUT,,,,,,True,442.18
ore_ont_3411,C,AAA,TIMEOUT,,,,,,True,0.25
ore_ont_5564,A,CATS,301.9076519012451,0,0,,,,False,0.29
ore_ont_5564,A,LETHE,1.3794686794281006,1,1,0.0,0.0,True,False,1.13
ore_ont_5564,A,AAA,TIMEOUT,,,,,,True,0.21
ore_ont_5564,B,CATS,302.0014703273773,0,0,,,,False,0.29
ore_ont_5564,B,LETHE,4.579267740249634,1,0,,,False,False,11.0
ore_ont_5564,B,AAA,TIMEOUT,,,,,,True,0.2
ore_ont_5564,C,CATS,301.93854999542236,0,0,,,,False,0.29
ore_ont_5564,C,LETHE,4.81228494644165,1,0,,,False,False,11.27
ore_ont_5564,C,AAA,TIMEOUT,,,,,,True,0.21
ore_ont_7668,A,CATS,28.28623056411743,0,0,,,,False,0.29
ore_ont_7668,A,LETHE,1.291459083557129,1,1,0.0,0.0,True,False,0.81
ore_ont_7668,A,AAA,TIMEOUT,,,,,,True,0.17
ore_ont_7668,B,CATS,302.01974749565125,0,0,,,,False,0.3
ore_ont_7668,B,LETHE,1.7673048973083496,0,0,,,,False,2.12
ore_ont_7668,B,AAA,TIMEOUT,,,,,,True,0.16
ore_ont_7668,C,CATS,35.347620487213135,0,0,,,,False,0.3
ore_ont_7668,C,LETHE,1.8089866638183594,0,0,,,,False,2.34
ore_ont_7668,C,AAA,TIMEOUT,,,,,,True,0.17
ore_ont_778,A,CATS,301.1555931568146,0,0,,,,False,0.29
ore_ont_778,A,LETHE,1.1656715869903564,1,1,0.0,0.0,True,False,0.77
ore_ont_778,A,AAA,TIMEOUT,,,,,,True,0.14
ore_ont_778,B,CATS,301.130806684494,0,0,,,,False,0.3
ore_ont_778,B,LETHE,TIMEOUT,,,,,,True,255.54
ore_ont_778,B,AAA,TIMEOUT,,,,,,True,0.14
ore_ont_778,C,CATS,301.13847398757935,0,0,,,,False,0.3
ore_ont_778,C,LETHE,TIMEOUT,,,,,,True,249.84
